,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
205,Shinsuke Nakamura,pinfall,Sami Zayn,Single Match,No Title Match,***½,1028,2024-02-12,2024-02-01,No Title Match
206,Chelsea Green,victory,Tegan Nox,Single Match,No Title Match,-,550,2024-02-12,2024-02-01,No Title Match
207,Akira Tozawa,victory,Dante Chen,Single Match,No Title Match,-,550,2024-02-12,2024-02-01,No Title Match
208,Gable Steveson,victory,Cedric Alexander,Single Match,No Title Match,-,550,2024-02-09,2024-02-01,No Title Match
209,Drew McIntyre,pinfall,AJ Styles,Single Match,No Title Match,***½,678,2024-02-09,2024-02-01,No Title Match
210,Bianca BelAir,pinfall,Michin,Single Match,No Title Match,-,427,2024-02-09,2024-02-01,No Title Match
211,Pete Dunne & Tyler Bate,pinfall,Johnny Gargano & Tommaso Ciampa,Tag Team,No Title Match,-,508,2024-02-09,2024-02-01,No Title Match
212,Randy Orton,pinfall,Sami Zayn,Single Match,No Title Match,***½,650,2024-02-09,2024-02-01,No Title Match
213,Gunther (c),victory,Cameron Grimes,Single Match,WWE Intercontinental Championship,-,1012,2024-02-09,2024-02-01,still champion
214,Cody Rhodes,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-02-09,2024-02-01,No Title Match
215,Bronson Reed,victory,Apollo Crews,Single Match,No Title Match,-,550,2024-02-05,2024-02-01,No Title Match
216,Natalya & Tegan Nox,victory,Chelsea Green & Piper Niven,Tag Team,No Title Match,-,550,2024-02-05,2024-02-01,No Title Match
217,Johnny Gargano & Tommaso Ciampa,pinfall,"Brutus Creed & Julius Creed, Giovanni Vinci & Ludwig Kaiser, Kofi Kingston & Xavier Woods",Tag Team,No Title Match,***¾,1075,2024-02-05,2024-02-01,No Title Match
218,Becky Lynch,pinfall,Shayna Baszler,Single Match,No Title Match,-,758,2024-02-05,2024-02-01,No Title Match
219,Ivar & Valhalla,pinfall,Akira Tozawa & Maxxine Dupri,Tag Team,No Title Match,-,120,2024-02-05,2024-02-01,No Title Match
220,The Miz,pinfall,JD McDonagh,Single Match,No Title Match,-,584,2024-02-05,2024-02-01,No Title Match
221,Asuka (c) & Kairi Sane (c),pinfall,Katana Chance & Kayden Carter,Tag Team,WWE Womens Tag Team Championship,-,588,2024-02-05,2024-02-01,still champion
222,Cody Rhodes,pinfall,Shinsuke Nakamura,Single Match,No Title Match,***½,1003,2024-02-05,2024-02-01,No Title Match
223,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
224,Ricochet,victory,Jinder Mahal,Single Match,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
225,Shayna Baszler & Zoey Stark,victory,Ivy Nile & Maxxine Dupri,Tag Team,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
226,AJ Styles,victory,Austin Theory,Single Match,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
227,Johnny Gargano & Tommaso Ciampa,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
228,Bianca BelAir & Shotzi & Zelina Vega,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
229,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
230,Gunther (c),victory,Chad Gable,Single Match,WWE Intercontinental Championship,-,1012,2024-02-04,2024-02-01,still champion
231,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-02-04,2024-02-01,No Title Match
232,Odyssey Jones,victory,Cedric Alexander,Single Match,No Title Match,-,550,2024-02-02,2024-02-01,No Title Match
233,Kevin Owens,pinfall,Austin Theory,Single Match,No Title Match,-,653,2024-02-02,2024-02-01,No Title Match
234,Pete Dunne & Tyler Bate,pinfall,"Angel & Berto, Cruz Del Toro & Joaquin Wilde, Elton Prince & Kit Wilson",Tag Team,No Title Match,-,524,2024-02-02,2024-02-01,No Title Match
235,Tiffany Stratton,pinfall,Michin,Single Match,No Title Match,-,465,2024-02-02,2024-02-01,No Title Match
236,Drew McIntyre,DQ,Sami Zayn,Single Match,No Title Match,-,550,2024-02-02,2024-02-01,No Title Match
237,Rhea Ripley (c),victory,"Nia Jax, Shayna Baszler",Triple Threat,WWE Women's World Title,-,865,2024-02-02,2024-02-01,still champion
238,Damian Priest (c) & Finn Bálor (c),pinfall,Johnny Gargano & Tommaso Ciampa,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,***¾,773,2024-01-29,2024-01-01,still champion
239,Shayna Baszler & Zoey Stark,pinfall,Chelsea Green & Piper Niven,Tag Team,No Title Match,-,120,2024-01-29,2024-01-01,No Title Match
240,Jey Uso,pinfall,Bronson Reed,Single Match,No Title Match,-,561,2024-01-29,2024-01-01,No Title Match
241,Gunther (c),pinfall,Kofi Kingston,Single Match,WWE Intercontinental Championship,***¾,720,2024-01-29,2024-01-01,still champion
242,Asuka & Kairi Sane,pinfall,Natalya & Tegan Nox,Tag Team,No Title Match,-,588,2024-01-29,2024-01-01,No Title Match
243,Drew McIntyre,pinfall,Sami Zayn,Single Match,No Title Match,***¾,772,2024-01-29,2024-01-01,No Title Match
244,Xia Li,pinfall,Gigi Dolin,Single Match,No Title Match,-,347,2024-01-29,2024-01-01,No Title Match
245,Julius Creed,pinfall,Luca Crusifino,Single Match,No Title Match,-,386,2024-01-29,2024-01-01,No Title Match
246,Bayley,victory,"Alba Fyre, Asuka, Becky Lynch, Bianca BelAir, Candice LeRae, Chelsea Green, Indi Hartwell, Ivy Nile, Jade Cargill, Jordynne Grace, Kairi Sane, Katana Chance, Kayden Carter, Liv Morgan, Maxxine Dupri, Michin, Naomi, Natalya, Nia Jax, Piper Niven, Roxanne Perez, Shayna Baszler, Shotzi, Tegan Nox, Tiffany Stratton, Valhalla, Xia Li, Zelina Vega, Zoey Stark",Single Match,No Title Match,***,300,2024-01-27,2024-01-01,No Title Match
247,Roman Reigns (c),pinfall,"A.J. Styles, L.A. Knight, Randy Orton",Fatal Fourway,WWE Championship WWE Universal Championship,***,1173,2024-01-27,2024-01-01,still champion
248,Logan Paul (c),DQ,Kevin Owens,Single Match,WWE United States Championship,***½,964,2024-01-27,2024-01-01,still champion
249,Cody Rhodes,victory,"Andrade, Austin Theory, Bobby Lashley, Bron Breakker, Bronson Reed, Carlito, Carmelo Hayes, CM Punk, Damian Priest, Dominik Mysterio, Drew McIntyre, Finn Bálor, Grayson Waller, Gunther, Ivar, JD McDonagh, Jey Uso, Jimmy Uso, Karrion Kross, Kofi Kingston, Ludwig Kaiser, Omos, Pat McAfee, R-Truth, Ricochet, Sami Zayn, Santos Escobar, Shinsuke Nakamura, The Miz",Single Match,No Title Match,****¼,505,2024-01-27,2024-01-01,No Title Match
250,Gable Steveson,victory,Cameron Grimes,Single Match,No Title Match,-,550,2024-01-26,2024-01-01,No Title Match
251,Santos Escobar,pinfall,Carlito,Single Match,No Title Match,-,589,2024-01-26,2024-01-01,No Title Match
252,Asuka & Kairi Sane,pinfall,Katana Chance (c) & Kayden Carter (c),Tag Team,WWE Womens Tag Team Championship (title change),-,543,2024-01-26,2024-01-01,new champion
253,Austin Theory,pinfall,Carmelo Hayes,Single Match,No Title Match,-,418,2024-01-26,2024-01-01,No Title Match
254,L.A. Knight,DQ,Solo Sikoa,Single Match,No Title Match,-,519,2024-01-26,2024-01-01,No Title Match
255,Drew McIntyre,victory,The Miz,Single Match,No Title Match,-,550,2024-01-26,2024-01-01,No Title Match
256,Giovanni Vinci & Ludwig Kaiser,draw (DCO),Kofi Kingston & Xavier Woods,Tag Team,No Title Match,-,536,2024-01-22,2024-01-01,No Title Match
257,Ivy Nile,pinfall,Valhalla,Single Match,No Title Match,-,167,2024-01-22,2024-01-01,No Title Match
258,Dominik Mysterio,pinfall,The Miz,Single Match,No Title Match,-,562,2024-01-22,2024-01-01,No Title Match
259,Ivar,pinfall,Chad Gable,Single Match,No Title Match,****,661,2024-01-22,2024-01-01,No Title Match
260,Shayna Baszler & Zoey Stark,pinfall,Candice LeRae & Indi Hartwell,Tag Team,No Title Match,-,394,2024-01-22,2024-01-01,No Title Match
261,Drew McIntyre,pinfall,Damian Priest,Single Match,No Title Match,-,785,2024-01-22,2024-01-01,No Title Match
262,Chelsea Green,victory,Gigi Dolin,Single Match,No Title Match,-,309,2024-01-22,2024-01-01,No Title Match
263,Brutus Creed,pinfall,Myles Borne,Single Match,No Title Match,-,527,2024-01-22,2024-01-01,No Title Match
264,Becky Lynch & Michin & Shotzi,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
265,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
266,Brutus Creed & Julius Creed,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
267,Ricochet,victory,Jinder Mahal,Single Match,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
268,Jey Uso,victory,Damian Priest,Single Match,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
269,Nia Jax,victory,Ivy Nile,Single Match,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
270,AJ Styles,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
271,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-01-21,2024-01-01,No Title Match
272,AJ Styles,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
273,Jinder Mahal,victory,Ricochet,Single Match,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
274,Brutus Creed & Julius Creed,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
275,Nia Jax,victory,Ivy Nile,Single Match,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
276,Jey Uso,victory,Damian Priest,Single Match,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
277,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
278,Becky Lynch & Michin & Shotzi,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
279,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-01-20,2024-01-01,No Title Match
280,Gable Steveson,pinfall,Cameron Grimes,Single Match,No Title Match,-,550,2024-01-19,2024-01-01,No Title Match
281,Angel & Humberto & Santos Escobar,pinfall,Carlito & Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,506,2024-01-19,2024-01-01,No Title Match
282,Pete Dunne & Tyler Bate,pinfall,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,442,2024-01-19,2024-01-01,No Title Match
283,Katana Chance (c) & Kayden Carter (c),pinfall,Alba Fyre & Isla Dawn,Tag Team,WWE Womens Tag Team Championship,-,177,2024-01-19,2024-01-01,still champion
284,L.A. Knight,DQ,AJ Styles,Single Match,No Title Match,-,289,2024-01-19,2024-01-01,No Title Match
285,Randy Orton,pinfall,Solo Sikoa,Single Match,No Title Match,-,313,2024-01-19,2024-01-01,No Title Match
286,Jey Uso,victory,Finn Bálor,Single Match,No Title Match,-,550,2024-01-19,2024-01-01,No Title Match
287,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-01-19,2024-01-01,No Title Match
288,Dante Chen,pinfall,Tavion Heights,Single Match,No Title Match,-,351,2024-01-15,2024-01-01,No Title Match
289,Julius Creed,pinfall,Apollo Crews,Single Match,No Title Match,-,475,2024-01-15,2024-01-01,No Title Match
290,Johnny Gargano & Tommaso Ciampa,pinfall,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,***½,1095,2024-01-15,2024-01-01,No Title Match
291,Candice LeRae & Indi Hartwell,pinfall,Chelsea Green & Piper Niven,Tag Team,No Title Match,-,210,2024-01-15,2024-01-01,No Title Match
292,Ludwig Kaiser,DQ,Xavier Woods,Single Match,No Title Match,-,586,2024-01-15,2024-01-01,No Title Match
293,Akira Tozawa,pinfall,Ivar,Single Match,No Title Match,-,120,2024-01-15,2024-01-01,No Title Match
294,Damian Priest & Finn Bálor,pinfall,R-Truth & The Miz,Tag Team,No Title Match,-,485,2024-01-15,2024-01-01,No Title Match
295,Shayna Baszler & Zoey Stark,submission,Natalya & Tegan Nox,Tag Team,No Title Match,-,320,2024-01-15,2024-01-01,No Title Match
296,Seth Rollins (c),pinfall,Jinder Mahal,Single Match,WWE World Heavyweight Championship,-,780,2024-01-15,2024-01-01,still champion
297,Jey Uso,victory,Damian Priest,Single Match,No Title Match,-,550,2024-01-14,2024-01-01,No Title Match
298,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-14,2024-01-01,No Title Match
299,AJ Styles,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-01-14,2024-01-01,No Title Match
300,Dominik Mysterio & JD McDonagh,victory,Brutus Creed & Julius Creed,Tag Team,No Title Match,-,550,2024-01-14,2024-01-01,No Title Match
301,Ricochet,victory,Bronson Reed,Single Match,No Title Match,-,550,2024-01-14,2024-01-01,No Title Match
302,Shotzi,DQ,Iyo Sky (c),Single Match,WWE Women's Championship (2016),-,620,2024-01-14,2024-01-01,still champion
303,Becky Lynch & Bianca BelAir & Shotzi,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-01-14,2024-01-01,No Title Match
304,Seth Rollins (c),victory,Drew McIntyre,Single Match,WWE World Heavyweight Championship,-,780,2024-01-14,2024-01-01,still champion
305,Jey Uso,victory,Damian Priest,Single Match,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
306,Ricochet,victory,Bronson Reed,Single Match,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
307,Shotzi,DQ,Iyo Sky,Single Match,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
308,Becky Lynch & Bianca BelAir & Shotzi,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
309,AJ Styles,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
310,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
311,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
312,Dominik Mysterio & JD McDonagh,victory,Brutus Creed & Julius Creed,Tag Team,No Title Match,-,550,2024-01-13,2024-01-01,No Title Match
313,Seth Rollins (c),victory,Drew McIntyre,Single Match,WWE World Heavyweight Championship,-,780,2024-01-13,2024-01-01,still champion
314,Gable Steveson,victory,Cedric Alexander,Single Match,No Title Match,-,550,2024-01-12,2024-01-01,No Title Match
315,Angel & Humberto,pinfall,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,***½,614,2024-01-12,2024-01-01,No Title Match
316,Bianca BelAir,pinfall,Bayley,Single Match,No Title Match,-,977,2024-01-12,2024-01-01,No Title Match
317,Austin Theory,draw (NC),Carmelo Hayes,Single Match,No Title Match,-,538,2024-01-12,2024-01-01,No Title Match
318,A.J. Styles & L.A. Knight & Randy Orton,pinfall,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,721,2024-01-12,2024-01-01,No Title Match
319,Jey Uso,victory,Damian Priest,Single Match,No Title Match,-,550,2024-01-12,2024-01-01,No Title Match
320,Bronson Reed,pinfall,Javier Bernal,Single Match,No Title Match,-,306,2024-01-08,2024-01-01,No Title Match
321,Duke Hudson,pinfall,Myles Borne,Single Match,No Title Match,-,467,2024-01-08,2024-01-01,No Title Match
322,Tommaso Ciampa,pinfall,Finn Bálor,Single Match,No Title Match,-,496,2024-01-08,2024-01-01,No Title Match
323,Kofi Kingston,draw (DCO),Ludwig Kaiser,Single Match,No Title Match,-,536,2024-01-08,2024-01-01,No Title Match
324,Katana Chance (c) & Kayden Carter (c),pinfall,Chelsea Green & Piper Niven,Tag Team,WWE Womens Tag Team Championship,-,593,2024-01-08,2024-01-01,still champion
325,The Miz,pinfall,JD McDonagh,Single Match,No Title Match,-,721,2024-01-08,2024-01-01,No Title Match
326,Ivar,pinfall,Otis,Single Match,No Title Match,-,228,2024-01-08,2024-01-01,No Title Match
327,Cody Rhodes,pinfall,Shinsuke Nakamura,Single Match,No Title Match,***½,1448,2024-01-08,2024-01-01,No Title Match
328,L.A. Knight,victory,Jimmy Uso,Single Match,No Title Match,-,550,2024-01-07,2024-01-01,No Title Match
329,Nia Jax,victory,Ivy Nile,Single Match,No Title Match,-,550,2024-01-07,2024-01-01,No Title Match
330,Brutus Creed & Julius Creed,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2024-01-07,2024-01-01,No Title Match
331,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-01-07,2024-01-01,No Title Match
332,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-07,2024-01-01,No Title Match
333,Shotzi,DQ,Iyo Sky (c),Single Match,WWE Women's Championship (2016),-,620,2024-01-07,2024-01-01,still champion
334,Becky Lynch & Bianca BelAir & Shotzi,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-01-07,2024-01-01,No Title Match
335,Seth Rollins (c),victory,Drew McIntyre,Single Match,WWE World Heavyweight Championship,-,780,2024-01-07,2024-01-01,still champion
336,L.A. Knight,victory,Jimmy Uso,Single Match,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
337,Brutus Creed,victory,JD McDonagh,Single Match,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
338,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
339,Becky Lynch & Bianca BelAir & Shotzi,victory,Asuka & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
340,Cody Rhodes,victory,Shinsuke Nakamura,Single Match,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
341,Nia Jax,victory,Ivy Nile,Single Match,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
342,Randy Orton,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2024-01-06,2024-01-01,No Title Match
343,Seth Rollins (c),victory,Drew McIntyre,Single Match,WWE World Heavyweight Championship,-,780,2024-01-06,2024-01-01,still champion
344,Gable Steveson,victory,Cedric Alexander,Single Match,No Title Match,-,550,2024-01-05,2024-01-01,No Title Match
345,Kevin Owens,pinfall,Santos Escobar,Single Match,No Title Match,-,1013,2024-01-05,2024-01-01,No Title Match
346,Iyo Sky (c),pinfall,Michin,Single Match,WWE Women's Championship (2016),-,620,2024-01-05,2024-01-01,still champion
347,Butch & Tyler Bate,pinfall,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,471,2024-01-05,2024-01-01,No Title Match
348,AJ Styles,draw (NC),"L.A. Knight, Randy Orton",Triple Threat,No Title Match,-,960,2024-01-05,2024-01-01,No Title Match
349,Bianca BelAir,victory,Chelsea Green,Single Match,No Title Match,-,550,2024-01-05,2024-01-01,No Title Match
350,Rhea Ripley (c),victory,Ivy Nile,Single Match,WWE Women's World Title,-,865,2024-01-05,2024-01-01,still champion
351,Drew McIntyre,victory,Ricochet,Single Match,No Title Match,-,550,2024-01-05,2024-01-01,No Title Match
352,Bronson Reed,victory,Akira Tozawa,Single Match,No Title Match,-,550,2024-01-01,2024-01-01,No Title Match
353,Johnny Gargano,victory,Ivar,Single Match,No Title Match,-,550,2024-01-01,2024-01-01,No Title Match
354,Nia Jax,pinfall,Becky Lynch,Single Match,No Title Match,-,713,2024-01-01,2024-01-01,No Title Match
355,Jey Uso & Kofi Kingston,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,378,2024-01-01,2024-01-01,No Title Match
356,R-Truth & The Miz,pinfall,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,443,2024-01-01,2024-01-01,No Title Match
357,Rhea Ripley (c),pinfall,Ivy Nile,Single Match,WWE Women's World Title,-,714,2024-01-01,2024-01-01,still champion
358,Shayna Baszler & Zoey Stark,pinfall,Natalya & Tegan Nox,Tag Team,No Title Match,-,329,2024-01-01,2024-01-01,No Title Match
359,Seth Rollins (c),pinfall,Drew McIntyre,Single Match,WWE World Heavyweight Championship,-,1083,2024-01-01,2024-01-01,still champion
360,L.A. Knight,victory,Jimmy Uso,Single Match,No Title Match,-,550,2023-12-30,2023-12-01,No Title Match
361,Bianca BelAir,victory,Bayley,Single Match,No Title Match,-,550,2023-12-30,2023-12-01,No Title Match
362,Kevin Owens,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-12-30,2023-12-01,No Title Match
363,Jey Uso,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-12-30,2023-12-01,No Title Match
